original_index,img_link,budget_value,revenue_value,lang
5895,https://media.themoviedb.org/t/p/w300_and_h450_face/uLilCY2We3Ore9Ke7CdafntHvmT.jpg,10000000.0,3651462.0,English
5896,https://media.themoviedb.org/t/p/w300_and_h450_face/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,35000000.0,120098945.0,English
16798,https://media.themoviedb.org/t/p/w300_and_h450_face/r1nonOkyMMmmtVGvk5JSuY3KpPH.jpg,,,English
16797,https://media.themoviedb.org/t/p/w300_and_h450_face/6Fe77jXvkoDERdFNkBdrkV08Vvy.jpg,,,Italian
26715,https://media.themoviedb.org/t/p/w300_and_h450_face/oyF0zNkTfvodHvkSEs9E88jvQRi.jpg,160000.0,111141.0,English
5894,https://media.themoviedb.org/t/p/w300_and_h450_face/a2zqJWEAqSyPS7VZP0biBdJIpHn.jpg,11000000.0,,English
26713,https://media.themoviedb.org/t/p/w300_and_h450_face/tBSZcB63mGsnrEJ5y9uwPw0p8tz.jpg,,,Hungarian
16800,https://media.themoviedb.org/t/p/w300_and_h450_face/A5MP1guV8pbruieG0tnpPIbaJtt.jpg,135000000.0,245700000.0,English
4052,https://media.themoviedb.org/t/p/w300_and_h450_face/iGRyPsZF0lfIL3IadmBdoAsYzyn.jpg,8000000.0,105983.0,English
5897,https://media.themoviedb.org/t/p/w300_and_h450_face/9Btip4jrDAxbAuDkEyPq8OkLbZw.jpg,4000000.0,132221.0,English
16799,https://media.themoviedb.org/t/p/w300_and_h450_face/nx2pChi41Xv4dsXsfSG3gnKcWaY.jpg,50000000.0,40909909.0,English
4051,https://media.themoviedb.org/t/p/w300_and_h450_face/8hCTCslXzFpQkMQ9LT2PJUjG7fm.jpg,,,English
26714,https://media.themoviedb.org/t/p/w300_and_h450_face/n8fu0eATvUWtmR9CsDlL1gwqTcp.jpg,,,English
4054,https://media.themoviedb.org/t/p/w300_and_h450_face/v5wAZwRqpGWmyAaaJ8BBHYuNXnj.jpg,87000000.0,351692268.0,English
4053,https://media.themoviedb.org/t/p/w300_and_h450_face/iw5BLbL1rSmya9I6puP1q5dUn81.jpg,,,Spanish; Castilian
16803,https://media.themoviedb.org/t/p/w300_and_h450_face/xQcnx6jMuPRCeidotgVy6YIls6p.jpg,,45203103.0,Japanese
26716,https://media.themoviedb.org/t/p/w300_and_h450_face/w7TdwnSh5McR5J28ZHTvttTKaCi.jpg,1000000.0,,English
16802,https://media.themoviedb.org/t/p/w300_and_h450_face/nInduPOusI1alDIC0UttFjDIKsO.jpg,19000000.0,6900000.0,English
5898,https://media.themoviedb.org/t/p/w300_and_h450_face/jVigwtKTVb9YnoZ4yi3Je5vx88y.jpg,,,English
4057,https://media.themoviedb.org/t/p/w300_and_h450_face/k9R6Omadvp57EoQ4x9nNneig1Nv.jpg,,,French
16801,https://media.themoviedb.org/t/p/w300_and_h450_face/jLGtRDeGvojKjUFhsCPX15VbhSv.jpg,,,English
26717,https://media.themoviedb.org/t/p/w300_and_h450_face/js4O6p2UTRqUWjpePsB2oV7L1Ri.jpg,,,Swedish
5899,https://media.themoviedb.org/t/p/w300_and_h450_face/kdMJhjqAlwJekpp8jGu6Lk3Tfy6.jpg,,,English
4055,https://media.themoviedb.org/t/p/w300_and_h450_face/w6eEJXYECpJnCNqDu4qDCLHvONe.jpg,22000000.0,19351569.0,English
26718,https://media.themoviedb.org/t/p/w300_and_h450_face/2EnsIGAfIJs7b083yZcw7SWtSgi.jpg,,8646157.0,Swedish
26719,https://media.themoviedb.org/t/p/w300_and_h450_face/tI0AHXooAbubqd4cDQapAv5xTmJ.jpg,,,Swedish
4056,https://media.themoviedb.org/t/p/w300_and_h450_face/zCFVwUqlsRikNNSKgXM1Yq2eQEo.jpg,,,English
4058,https://media.themoviedb.org/t/p/w300_and_h450_face/qxtzOlO5FqFgSOGnNr0kFzo2Ho7.jpg,,,English
5901,https://media.themoviedb.org/t/p/w300_and_h450_face/xrIT8dkdKdgHcEwXNsSRxzNn1fN.jpg,,,Italian
5900,https://media.themoviedb.org/t/p/w300_and_h450_face/dCggUkmi3Fyc1HrSnyaSxKPrG4n.jpg,15000000.0,,English
16804,https://media.themoviedb.org/t/p/w300_and_h450_face/5ZzeR8iz1nEFLp94OBnbakLZawo.jpg,50200000.0,127900000.0,English
26720,https://media.themoviedb.org/t/p/w300_and_h450_face/uUDcDA4AsUa51HRIiIfMJoqSfI3.jpg,3500000.0,,Swedish
4059,https://media.themoviedb.org/t/p/w300_and_h450_face/w2XM4YCfBOOWEL4a0abQji7QxwI.jpg,30000000.0,71186502.0,English
26721,https://media.themoviedb.org/t/p/w300_and_h450_face/sENNbyg22ZwED7nD58BcY26z5d7.jpg,,,Swedish
